complaint_id,category,priority,reason,flag
KM-202401,Other,Low,Classified as Other based on words 'Heritage lamp post knocked over by delivery vehicle.' in the complaint description.,NEEDS_REVIEW
KM-202402,Heritage Damage,Low,Classified as Heritage Damage based on words 'historic' in the complaint description.,
KM-202405,Other,Low,Classified as Other based on words 'Wedding band playing near Tagore Museum at 11pm.' in the complaint description.,NEEDS_REVIEW
KM-202409,Pothole,Standard,Classified as Pothole based on words 'potholes' in the complaint description.,
KM-202410,Pothole,Standard,Classified as Pothole based on words 'pothole' in the complaint description.,
KM-202411,Pothole,Standard,Classified as Pothole based on words 'pothole' in the complaint description.,
KM-202415,Other,Low,Classified as Other based on words 'New residential complex draining directly onto public road.' in the complaint description.,NEEDS_REVIEW
KM-202418,Other,Low,Classified as Other based on words 'Tourist zone waste overflowing. Foreign visitors photographing piles.' in the complaint description.,NEEDS_REVIEW
KM-202421,Road Damage,Urgent,"Classified as Road Damage based on words 'sinking', 'hospital', 'fell' in the complaint description.",
KM-202422,Road Damage,Standard,Classified as Road Damage based on words 'road surface' in the complaint description.,
KM-202426,Heritage Damage,Low,Classified as Heritage Damage based on words 'heritage residential building exterior defaced' in the complaint description.,
KM-202430,Other,Low,Classified as Other based on words 'Road subsided near gas pipeline. Gas leak smell' in the complaint description.,NEEDS_REVIEW
KM-202434,Other,Low,Classified as Other based on words 'Street paving removed for utility work — heritage' in the complaint description.,NEEDS_REVIEW
KM-202436,Other,Low,Classified as Other based on words 'Entire colony substation tripped. Darkness for 3 nights.' in the complaint description.,NEEDS_REVIEW
KM-202438,Other,Low,Classified as Other based on words 'Street vendors using amplifiers illegally in heritage precinct.' in the complaint description.,NEEDS_REVIEW
