complaint_id,date_raised,city,ward,location,description,reported_by,days_open,summary,flag
PM-202401,2024-06-21,Pune,Ward 4 – Warje,Karve Road near Deccan Gymkhana,Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.,Citizen Portal,4,complaint_id: PM-202401; date_raised: 2024-06-21; city: Pune; ward: Ward 4 – Warje; location: Karve Road near Deccan Gymkhana; description: Large pothole 60cm wide causing tyre damage. Three vehicles affected this week.; reported_by: Citizen Portal; days_open: 4,
PM-202402,2024-06-04,Pune,Ward 3 – Kothrud,FC Road near MIT College junction,Deep pothole near bus stop. School children at risk during morning hours.,Councillor Referral,12,complaint_id: PM-202402; date_raised: 2024-06-04; city: Pune; ward: Ward 3 – Kothrud; location: FC Road near MIT College junction; description: Deep pothole near bus stop. School children at risk during morning hours.; reported_by: Councillor Referral; days_open: 12,
PM-202406,2024-06-08,Pune,Ward 1 – Kasba,Ambedkar Road underpass,Underpass flooded knee-deep after 2hrs rain. Commuters stranded.,Councillor Referral,8,complaint_id: PM-202406; date_raised: 2024-06-08; city: Pune; ward: Ward 1 – Kasba; location: Ambedkar Road underpass; description: Underpass flooded knee-deep after 2hrs rain. Commuters stranded.; reported_by: Councillor Referral; days_open: 8,
PM-202408,2024-06-05,Pune,Ward 3 – Kothrud,Kothrud Depot bus stand,Bus stand flooded. Passengers standing in water. Drain blocked.,Ward Office Walk-in,12,complaint_id: PM-202408; date_raised: 2024-06-05; city: Pune; ward: Ward 3 – Kothrud; location: Kothrud Depot bus stand; description: Bus stand flooded. Passengers standing in water. Drain blocked.; reported_by: Ward Office Walk-in; days_open: 12,
PM-202410,2024-06-04,Pune,Ward 2 – Shivajinagar,JM Road near Goodluck Chowk,Three consecutive streetlights out for 10 days. Area very dark at night.,Email,18,complaint_id: PM-202410; date_raised: 2024-06-04; city: Pune; ward: Ward 2 – Shivajinagar; location: JM Road near Goodluck Chowk; description: Three consecutive streetlights out for 10 days. Area very dark at night.; reported_by: Email; days_open: 18,
PM-202411,2024-06-22,Pune,Ward 2 – Shivajinagar,"Viman Nagar, Vadgaon Sheri Road",Streetlight flickering and sparking. Electrical hazard reported.,Social Media,9,"complaint_id: PM-202411; date_raised: 2024-06-22; city: Pune; ward: Ward 2 – Shivajinagar; location: Viman Nagar, Vadgaon Sheri Road; description: Streetlight flickering and sparking. Electrical hazard reported.; reported_by: Social Media; days_open: 9",
PM-202413,2024-06-29,Pune,Ward 1 – Kasba,Shivajinagar market area,Overflowing garbage bins near vegetable market. Smell affecting shoppers.,WhatsApp Helpline,13,complaint_id: PM-202413; date_raised: 2024-06-29; city: Pune; ward: Ward 1 – Kasba; location: Shivajinagar market area; description: Overflowing garbage bins near vegetable market. Smell affecting shoppers.; reported_by: WhatsApp Helpline; days_open: 13,
PM-202418,2024-06-02,Pune,Ward 4 – Warje,Kalyani Nagar residential zone,Wedding venue playing music past midnight on weeknights.,Citizen Portal,5,complaint_id: PM-202418; date_raised: 2024-06-02; city: Pune; ward: Ward 4 – Warje; location: Kalyani Nagar residential zone; description: Wedding venue playing music past midnight on weeknights.; reported_by: Citizen Portal; days_open: 5,
PM-202419,2024-06-01,Pune,Ward 2 – Shivajinagar,Senapati Bapat Road,Road surface cracked and sinking near utility work done 1 month ago.,Social Media,2,complaint_id: PM-202419; date_raised: 2024-06-01; city: Pune; ward: Ward 2 – Shivajinagar; location: Senapati Bapat Road; description: Road surface cracked and sinking near utility work done 1 month ago.; reported_by: Social Media; days_open: 2,
PM-202420,2024-06-03,Pune,Ward 1 – Kasba,Paud Road near Kothrud,Manhole cover missing. Risk of serious injury to cyclists.,Email,14,complaint_id: PM-202420; date_raised: 2024-06-03; city: Pune; ward: Ward 1 – Kasba; location: Paud Road near Kothrud; description: Manhole cover missing. Risk of serious injury to cyclists.; reported_by: Email; days_open: 14,
PM-202427,2024-06-07,Pune,Ward 5 – Hadapsar,Erandwane depression near bridge,Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.,Councillor Referral,12,complaint_id: PM-202427; date_raised: 2024-06-07; city: Pune; ward: Ward 5 – Hadapsar; location: Erandwane depression near bridge; description: Bridge approach floods in 30mins of rain. Bridge becomes inaccessible.; reported_by: Councillor Referral; days_open: 12,
PM-202428,2024-06-23,Pune,Ward 3 – Kothrud,Pune University Road,Dead animal not removed for 36 hours. Health concern.,Email,1,complaint_id: PM-202428; date_raised: 2024-06-23; city: Pune; ward: Ward 3 – Kothrud; location: Pune University Road; description: Dead animal not removed for 36 hours. Health concern.; reported_by: Email; days_open: 1,
PM-202430,2024-06-23,Pune,Ward 1 – Kasba,"Rasta Peth, old city area","Heritage street, lights out. Safety concern for pedestrians after dark.",Social Media,19,"complaint_id: PM-202430; date_raised: 2024-06-23; city: Pune; ward: Ward 1 – Kasba; location: Rasta Peth, old city area; description: Heritage street, lights out. Safety concern for pedestrians after dark.; reported_by: Social Media; days_open: 19",
PM-202433,2024-06-08,Pune,Ward 2 – Shivajinagar,Dhole Patil Road,Bulk waste from apartment renovation dumped on public road.,Phone Helpline,20,complaint_id: PM-202433; date_raised: 2024-06-08; city: Pune; ward: Ward 2 – Shivajinagar; location: Dhole Patil Road; description: Bulk waste from apartment renovation dumped on public road.; reported_by: Phone Helpline; days_open: 20,
PM-202446,2024-06-09,Pune,Ward 2 – Shivajinagar,"Swargate, Tilak Road",Footpath tiles broken and upturned. Elderly resident fell last week.,Email,18,"complaint_id: PM-202446; date_raised: 2024-06-09; city: Pune; ward: Ward 2 – Shivajinagar; location: Swargate, Tilak Road; description: Footpath tiles broken and upturned. Elderly resident fell last week.; reported_by: Email; days_open: 18",
