complaint_id,date_raised,city,ward,location,description,reported_by,days_open,summary,flag
KM-202401,2024-06-19,Kolkata,Ward 27 – Salt Lake,"Park Street, Victoria area",Heritage lamp post knocked over by delivery vehicle. Not restored.,Email,17,"complaint_id: KM-202401; date_raised: 2024-06-19; city: Kolkata; ward: Ward 27 – Salt Lake; location: Park Street, Victoria area; description: Heritage lamp post knocked over by delivery vehicle. Not restored.; reported_by: Email; days_open: 17",
KM-202402,2024-06-07,Kolkata,Ward 25 – Jadavpur,"College Street, Boi Para",Historic tram road cobblestones broken up by cable laying work.,Councillor Referral,16,"complaint_id: KM-202402; date_raised: 2024-06-07; city: Kolkata; ward: Ward 25 – Jadavpur; location: College Street, Boi Para; description: Historic tram road cobblestones broken up by cable laying work.; reported_by: Councillor Referral; days_open: 16",
KM-202405,2024-06-13,Kolkata,Ward 25 – Jadavpur,"Jorasanko, heritage zone",Wedding band playing near Tagore Museum at 11pm. Festival season ongoing.,Ward Office Walk-in,10,"complaint_id: KM-202405; date_raised: 2024-06-13; city: Kolkata; ward: Ward 25 – Jadavpur; location: Jorasanko, heritage zone; description: Wedding band playing near Tagore Museum at 11pm. Festival season ongoing.; reported_by: Ward Office Walk-in; days_open: 10",
KM-202409,2024-06-05,Kolkata,Ward 26 – Behala,VIP Road near Dum Dum Airport,Airport access road full of potholes. Diplomatic complaint received.,Councillor Referral,7,complaint_id: KM-202409; date_raised: 2024-06-05; city: Kolkata; ward: Ward 26 – Behala; location: VIP Road near Dum Dum Airport; description: Airport access road full of potholes. Diplomatic complaint received.; reported_by: Councillor Referral; days_open: 7,
KM-202410,2024-06-21,Kolkata,Ward 26 – Behala,EM Bypass near Science City,Pothole causing tyre blowouts. Three incidents this week.,Email,1,complaint_id: KM-202410; date_raised: 2024-06-21; city: Kolkata; ward: Ward 26 – Behala; location: EM Bypass near Science City; description: Pothole causing tyre blowouts. Three incidents this week.; reported_by: Email; days_open: 1,
KM-202411,2024-06-23,Kolkata,Ward 26 – Behala,"Tollygunge, Sardar Shankar Road",Deep pothole filling with rainwater. Depth invisible. Accident risk.,Councillor Referral,12,"complaint_id: KM-202411; date_raised: 2024-06-23; city: Kolkata; ward: Ward 26 – Behala; location: Tollygunge, Sardar Shankar Road; description: Deep pothole filling with rainwater. Depth invisible. Accident risk.; reported_by: Councillor Referral; days_open: 12",
KM-202415,2024-06-28,Kolkata,Ward 26 – Behala,"Kasba, off bypass",New residential complex draining directly onto public road.,WhatsApp Helpline,13,"complaint_id: KM-202415; date_raised: 2024-06-28; city: Kolkata; ward: Ward 26 – Behala; location: Kasba, off bypass; description: New residential complex draining directly onto public road.; reported_by: WhatsApp Helpline; days_open: 13",
KM-202418,2024-06-04,Kolkata,Ward 23 – Park Street,"New Market, Lindsay Street",Tourist zone waste overflowing. Foreign visitors photographing piles.,Ward Office Walk-in,15,"complaint_id: KM-202418; date_raised: 2024-06-04; city: Kolkata; ward: Ward 23 – Park Street; location: New Market, Lindsay Street; description: Tourist zone waste overflowing. Foreign visitors photographing piles.; reported_by: Ward Office Walk-in; days_open: 15",
KM-202421,2024-06-08,Kolkata,Ward 23 – Park Street,Rashbehari Avenue,Footpath broken and sinking. Elderly pedestrian fell. Hospital visit.,Social Media,3,complaint_id: KM-202421; date_raised: 2024-06-08; city: Kolkata; ward: Ward 23 – Park Street; location: Rashbehari Avenue; description: Footpath broken and sinking. Elderly pedestrian fell. Hospital visit.; reported_by: Social Media; days_open: 3,
KM-202422,2024-06-06,Kolkata,Ward 24 – Shyambazar,"Howrah Bridge approach, Kolkata side",Road surface buckled near bridge. Structural concern raised.,Social Media,1,"complaint_id: KM-202422; date_raised: 2024-06-06; city: Kolkata; ward: Ward 24 – Shyambazar; location: Howrah Bridge approach, Kolkata side; description: Road surface buckled near bridge. Structural concern raised.; reported_by: Social Media; days_open: 1",
KM-202426,2024-06-17,Kolkata,Ward 24 – Shyambazar,"Bow Barracks, central Kolkata",Heritage residential building exterior defaced by billboard installation.,Phone Helpline,1,"complaint_id: KM-202426; date_raised: 2024-06-17; city: Kolkata; ward: Ward 24 – Shyambazar; location: Bow Barracks, central Kolkata; description: Heritage residential building exterior defaced by billboard installation.; reported_by: Phone Helpline; days_open: 1",
KM-202430,2024-06-08,Kolkata,Ward 23 – Park Street,"Park Street, restaurant zone",Road subsided near gas pipeline. Gas leak smell reported too.,Social Media,21,"complaint_id: KM-202430; date_raised: 2024-06-08; city: Kolkata; ward: Ward 23 – Park Street; location: Park Street, restaurant zone; description: Road subsided near gas pipeline. Gas leak smell reported too.; reported_by: Social Media; days_open: 21",
KM-202434,2024-06-15,Kolkata,Ward 23 – Park Street,"Marble Palace, Muktaram Babu Street",Street paving removed for utility work — heritage stone not replaced.,Email,14,"complaint_id: KM-202434; date_raised: 2024-06-15; city: Kolkata; ward: Ward 23 – Park Street; location: Marble Palace, Muktaram Babu Street; description: Street paving removed for utility work — heritage stone not replaced.; reported_by: Email; days_open: 14",
KM-202436,2024-06-26,Kolkata,Ward 27 – Salt Lake,"New Alipore, residential colony",Entire colony substation tripped. Darkness for 3 nights.,Councillor Referral,17,"complaint_id: KM-202436; date_raised: 2024-06-26; city: Kolkata; ward: Ward 27 – Salt Lake; location: New Alipore, residential colony; description: Entire colony substation tripped. Darkness for 3 nights.; reported_by: Councillor Referral; days_open: 17",
KM-202438,2024-06-22,Kolkata,Ward 25 – Jadavpur,"Esplanade, near Metro",Street vendors using amplifiers illegally in heritage precinct.,Councillor Referral,19,"complaint_id: KM-202438; date_raised: 2024-06-22; city: Kolkata; ward: Ward 25 – Jadavpur; location: Esplanade, near Metro; description: Street vendors using amplifiers illegally in heritage precinct.; reported_by: Councillor Referral; days_open: 19",
