| Clause | Core Obligation | Binding Verb |
|---|---|---|
| 1.1 | This policy governs all leave entitlements for permanent and | must |
| 1.2 | This policy does not apply to daily wage workers or consultants. | must |
| 2.1 | Each permanent employee is entitled to 18 days of paid annual | must |
| 2.2 | Annual leave accrues at 1.5 days per month from the date of | must |
| 2.3 | Employees must submit a leave application at least 14 calendar | must |
| 2.4 | Leave applications must have written direct manager approval before leave starts; verbal approval is not valid. | must |
| 2.5 | Unapproved absence is recorded as Loss of Pay regardless of later approval. | not permitted |
| 2.6 | Employees may carry forward a maximum of 5 unused annual leave | must |
| 2.7 | Carry-forward days must be used by January–March following year or are forfeited. | must |
| 3.1 | Each employee is entitled to 12 days of paid sick leave per | must |
| 3.2 | Sick leave of 3 or more consecutive days requires a medical | requires |
| 3.3 | Sick leave cannot be carried forward to the following year. | not permitted |
| 3.4 | Sick leave immediately before/after holiday or annual leave requires medical certificate regardless of duration. | requires |
| 4.1 | Female employees are entitled to 26 weeks of paid maternity | must |
| 4.2 | For a third or subsequent child, maternity leave is 12 weeks | must |
| 4.3 | Male employees are entitled to 5 days of paid paternity leave, | must |
| 4.4 | Paternity leave cannot be split across multiple periods. | not permitted |
| 5.1 | An employee may apply for Leave Without Pay only after | will |
| 5.2 | LWP requires approval from Department Head AND HR Director; manager approval alone is insufficient. | requires |
| 5.3 | LWP exceeding 30 continuous days requires approval from | requires |
| 5.4 | Periods of LWP do not count toward service for the purposes | must |
| 6.1 | Employees are entitled to all gazetted public holidays as | must |
| 6.2 | If an employee is required to work on a public holiday, they | must |
| 6.3 | Compensatory off cannot be encashed. | not permitted |
| 7.1 | Annual leave may be encashed only at the time of retirement | will |
| 7.2 | Leave encashment during service is not permitted under any | not permitted |
| 7.3 | Sick leave and LWP cannot be encashed under any circumstances. | not permitted |
| 8.1 | Leave-related grievances must be raised with the HR Department | must |
| 8.2 | Grievances raised after 10 working days will not be considered | not permitted |
