complaint_id,category,priority,reason,flag
AM-202401,Other,Low,Classified as Other based on words 'Tarmac surface melting at 44°C. Footwear sticking. Park' in the complaint description.,NEEDS_REVIEW
AM-202402,Other,Low,Classified as Other based on words 'Metal bus shelter reaching dangerous temperatures. Commuters refusing' in the complaint description.,NEEDS_REVIEW
AM-202405,Other,Low,Classified as Other based on words 'Dead trees with split branches. Fall risk to' in the complaint description.,NEEDS_REVIEW
AM-202406,Heat Hazard,Low,Classified as Heat Hazard based on words 'heatwave' in the complaint description.,
AM-202407,Road Damage,Urgent,"Classified as Road Damage based on words 'upturned', 'child' in the complaint description.",
AM-202410,Pothole,Standard,Classified as Pothole based on words 'pothole' in the complaint description.,
AM-202414,Other,Low,Classified as Other based on words 'Residential colony unlit after 9pm. Wiring theft reported.' in the complaint description.,NEEDS_REVIEW
AM-202417,Other,Low,Classified as Other based on words 'Night market waste not cleared before morning. Heritage' in the complaint description.,NEEDS_REVIEW
AM-202421,Noise,Low,Classified as Noise based on words 'music' in the complaint description.,
AM-202424,Road Damage,Standard,Classified as Road Damage based on words 'road surface' in the complaint description.,
AM-202429,Other,Low,Classified as Other based on words 'River walk surface temperature unbearable. Installed temperature reads' in the complaint description.,NEEDS_REVIEW
AM-202431,Heritage Damage,Low,Classified as Heritage Damage based on words 'old city' in the complaint description.,
AM-202435,Heat Hazard,Low,Classified as Heat Hazard based on words 'heat' in the complaint description.,
AM-202444,Waste,Low,Classified as Waste based on words 'bins' in the complaint description.,
AM-202445,Other,Low,Classified as Other based on words 'BRT shelter roof glass broken. Users exposed to' in the complaint description.,NEEDS_REVIEW
