complaint_id,category,priority,reason,flag
GH-202401,Flooding,Urgent,"Classified as Flooding due to 'flood', escalated to Urgent due to 'ambulance'.",
GH-202402,Drain Blockage,Standard,Classified as Drain Blockage because description mentions 'drain'.,
GH-202406,Drain Blockage,Standard,Classified as Drain Blockage because description mentions 'drain'.,
GH-202407,Drain Blockage,Standard,Classified as Drain Blockage because description mentions 'drain'.,
GH-202410,Pothole,Standard,Classified as Pothole because description mentions 'pothole'.,
GH-202411,Pothole,Urgent,"Classified as Pothole due to 'pothole', escalated to Urgent due to 'hospital'.",
GH-202412,Pothole,Urgent,"Classified as Pothole due to 'pothole', escalated to Urgent due to 'school'.",
GH-202417,Waste,Standard,Classified as Waste because description mentions 'garbage'.,
GH-202420,Other,Standard,Category is genuinely ambiguous; description lacks identifiable keywords.,NEEDS_REVIEW
GH-202422,Other,Urgent,Category is genuinely ambiguous; description lacks identifiable keywords.,NEEDS_REVIEW
GH-202424,Flooding,Standard,Classified as Flooding because description mentions 'flood'.,
GH-202428,Waste,Standard,Classified as Waste because description mentions 'waste'.,
GH-202432,Other,Standard,Category is genuinely ambiguous; description lacks identifiable keywords.,NEEDS_REVIEW
GH-202448,Drain Blockage,Standard,Classified as Drain Blockage because description mentions 'drain'.,
GH-202438,Flooding,Standard,Classified as Flooding because description mentions 'water'.,
