complaint_id,category,priority,reason,flag
KM-202401,Other,Low,"Ambiguous between Streetlight / Heritage Damage; cited words: ""lamp post"", ""heritage"".",NEEDS_REVIEW
KM-202402,Other,Low,"No taxonomy keyword match in description; cited words: ""Historic"", ""tram"", ""road"", ""cobblestones"", ""broken"".",NEEDS_REVIEW
KM-202405,Other,Low,"No taxonomy keyword match in description; cited words: ""Wedding"", ""band"", ""playing"", ""near"", ""Tagore"".",NEEDS_REVIEW
KM-202409,Pothole,Standard,"Classified as Pothole based on cited words: ""pothole"".",
KM-202410,Pothole,Standard,"Classified as Pothole based on cited words: ""pothole"".",
KM-202411,Pothole,Standard,"Classified as Pothole based on cited words: ""pothole"".",
KM-202415,Other,Low,"No taxonomy keyword match in description; cited words: ""New"", ""residential"", ""complex"", ""draining"", ""directly"".",NEEDS_REVIEW
KM-202418,Waste,Standard,"Classified as Waste based on cited words: ""waste"".",
KM-202421,Road Damage,Urgent,"Classified as Road Damage based on cited words: ""sinking"", ""footpath"". Severity keywords present: ""hospital"", ""fell"".",
KM-202422,Road Damage,Standard,"Classified as Road Damage based on cited words: ""road surface"".",
KM-202426,Heritage Damage,Standard,"Classified as Heritage Damage based on cited words: ""heritage"".",
KM-202430,Other,Low,"No taxonomy keyword match in description; cited words: ""Road"", ""subsided"", ""near"", ""gas"", ""pipeline."".",NEEDS_REVIEW
KM-202434,Heritage Damage,Standard,"Classified as Heritage Damage based on cited words: ""heritage"".",
KM-202436,Other,Low,"No taxonomy keyword match in description; cited words: ""Entire"", ""colony"", ""substation"", ""tripped."", ""Darkness"".",NEEDS_REVIEW
KM-202438,Heritage Damage,Standard,"Classified as Heritage Damage based on cited words: ""heritage"".",
