complaint_id,category,priority,reason,flag
KM-202401,Streetlight,Standard,"The description mentions 'lamp', which indicates the Streetlight category.",
KM-202402,Road Damage,Standard,"The description mentions 'cobblestones', which indicates the Road Damage category.",
KM-202405,Noise,Standard,"The description mentions 'band', which indicates the Noise category.",
KM-202409,Pothole,Standard,"The description mentions 'potholes', which indicates the Pothole category.",
KM-202410,Pothole,Standard,"The description mentions 'pothole', which indicates the Pothole category.",
KM-202411,Flooding,Urgent,"The description mentions 'rainwater', which indicates the Flooding category.",
KM-202415,Drainage,Standard,"The description mentions 'draining', which indicates the Drainage category.",
KM-202418,Waste,Standard,"The description mentions 'waste', which indicates the Waste category.",
KM-202421,Road Damage,Urgent,"The description mentions 'sinking', which indicates the Road Damage category.",
KM-202422,Road Damage,Standard,"The description mentions 'road surface', which indicates the Road Damage category.",
KM-202426,Heritage Damage,Standard,"The description mentions 'heritage', which indicates the Heritage Damage category.",
KM-202430,Road Damage,Urgent,"The description mentions 'road subsided', which indicates the Road Damage category.",
KM-202434,Road Damage,Standard,"The description mentions 'paving', which indicates the Road Damage category.",
KM-202436,Streetlight,Standard,"The description mentions 'darkness', which indicates the Streetlight category.",
KM-202438,Noise,Standard,"The description mentions 'amplifiers', which indicates the Noise category.",
