complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,"The description mentions ""pothole"", supporting the category ""Pothole"".",
PM-202402,Pothole,Urgent,"The description mentions ""pothole"", supporting the category ""Pothole"".",
PM-202406,Flooding,Standard,"The description mentions ""flooded"", supporting the category ""Flooding"".",
PM-202408,Other,Standard,"The description contains ""flooded"", ""drain blocked"", which supports multiple allowed categories (Flooding, Drain Blockage).",NEEDS_REVIEW
PM-202410,Streetlight,Standard,"The description mentions ""streetlights"", supporting the category ""Streetlight"".",
PM-202411,Streetlight,Urgent,"The description mentions ""streetlight"", supporting the category ""Streetlight"".",
PM-202413,Waste,Standard,"The description mentions ""garbage"", supporting the category ""Waste"".",
PM-202418,Noise,Standard,"The description mentions ""music past midnight"", supporting the category ""Noise"".",
PM-202419,Road Damage,Standard,"The description mentions ""road surface"", supporting the category ""Road Damage"".",
PM-202420,Road Damage,Urgent,"The description mentions ""manhole cover"", supporting the category ""Road Damage"".",
PM-202427,Flooding,Standard,"The description mentions ""bridge approach floods"", supporting the category ""Flooding"".",
PM-202428,Waste,Standard,"The description mentions ""dead animal"", ""animal not removed"", supporting the category ""Waste"".",
PM-202430,Other,Standard,"The description contains ""lights out"", ""heritage"", which supports multiple allowed categories (Streetlight, Heritage Damage).",NEEDS_REVIEW
PM-202433,Waste,Standard,"The description mentions ""waste"", supporting the category ""Waste"".",
PM-202446,Road Damage,Urgent,"The description mentions ""footpath"", ""footpath tiles"", supporting the category ""Road Damage"".",
