complaint_id,date_raised,city,ward,location,description,reported_by,days_open,summary,flag
GH-202401,2024-07-01,Hyderabad,Ward 55 – Secunderabad,Tank Bund Road underpass,Underpass flooded after 1hr rain. Ambulance diverted. Lives at risk.,WhatsApp Helpline,13,complaint_id: GH-202401; date_raised: 2024-07-01; city: Hyderabad; ward: Ward 55 – Secunderabad; location: Tank Bund Road underpass; description: Underpass flooded after 1hr rain. Ambulance diverted. Lives at risk.; reported_by: WhatsApp Helpline; days_open: 13,
GH-202402,2024-07-13,Hyderabad,Ward 55 – Secunderabad,Dilsukhnagar Monda Market area,Market area flooded. Traders suffering losses. Drain completely blocked.,Citizen Portal,20,complaint_id: GH-202402; date_raised: 2024-07-13; city: Hyderabad; ward: Ward 55 – Secunderabad; location: Dilsukhnagar Monda Market area; description: Market area flooded. Traders suffering losses. Drain completely blocked.; reported_by: Citizen Portal; days_open: 20,
GH-202406,2024-07-26,Hyderabad,Ward 54 – Kukatpally,"Mehdipatnam, Rethibowli Road",Main stormwater drain 100% blocked with construction debris.,Phone Helpline,3,"complaint_id: GH-202406; date_raised: 2024-07-26; city: Hyderabad; ward: Ward 54 – Kukatpally; location: Mehdipatnam, Rethibowli Road; description: Main stormwater drain 100% blocked with construction debris.; reported_by: Phone Helpline; days_open: 3",
GH-202407,2024-07-15,Hyderabad,Ward 55 – Secunderabad,"Santoshnagar, Saidabad",Drain blocked and mosquito breeding. Dengue concern.,WhatsApp Helpline,4,"complaint_id: GH-202407; date_raised: 2024-07-15; city: Hyderabad; ward: Ward 55 – Secunderabad; location: Santoshnagar, Saidabad; description: Drain blocked and mosquito breeding. Dengue concern.; reported_by: WhatsApp Helpline; days_open: 4",
GH-202410,2024-07-23,Hyderabad,Ward 55 – Secunderabad,"Outer Ring Road service lane, Narsingi",Potholes causing vehicles to slow to 20kmph on fast road.,Councillor Referral,18,"complaint_id: GH-202410; date_raised: 2024-07-23; city: Hyderabad; ward: Ward 55 – Secunderabad; location: Outer Ring Road service lane, Narsingi; description: Potholes causing vehicles to slow to 20kmph on fast road.; reported_by: Councillor Referral; days_open: 18",
GH-202411,2024-07-31,Hyderabad,Ward 55 – Secunderabad,"Tolichowki, Mount Pleasant Road",Pothole swallowed entire motorcycle wheel. Rider hospitalised.,Ward Office Walk-in,17,"complaint_id: GH-202411; date_raised: 2024-07-31; city: Hyderabad; ward: Ward 55 – Secunderabad; location: Tolichowki, Mount Pleasant Road; description: Pothole swallowed entire motorcycle wheel. Rider hospitalised.; reported_by: Ward Office Walk-in; days_open: 17",
GH-202412,2024-07-24,Hyderabad,Ward 53 – LB Nagar,"Nagole, Ramanthapur Road",School bus struggling to navigate 6 potholes in 200m stretch.,Citizen Portal,4,"complaint_id: GH-202412; date_raised: 2024-07-24; city: Hyderabad; ward: Ward 53 – LB Nagar; location: Nagole, Ramanthapur Road; description: School bus struggling to navigate 6 potholes in 200m stretch.; reported_by: Citizen Portal; days_open: 4",
GH-202417,2024-07-16,Hyderabad,Ward 53 – LB Nagar,"Charminar area, old city",Heritage zone garbage overflow. Tourist photographs showing piles of waste.,WhatsApp Helpline,11,"complaint_id: GH-202417; date_raised: 2024-07-16; city: Hyderabad; ward: Ward 53 – LB Nagar; location: Charminar area, old city; description: Heritage zone garbage overflow. Tourist photographs showing piles of waste.; reported_by: WhatsApp Helpline; days_open: 11",
GH-202420,2024-07-10,Hyderabad,Ward 55 – Secunderabad,Hitech City co-working zone,Construction drilling from 5am daily near residential towers.,WhatsApp Helpline,12,complaint_id: GH-202420; date_raised: 2024-07-10; city: Hyderabad; ward: Ward 55 – Secunderabad; location: Hitech City co-working zone; description: Construction drilling from 5am daily near residential towers.; reported_by: WhatsApp Helpline; days_open: 12,
GH-202422,2024-07-31,Hyderabad,Ward 52 – Madhapur,"Attapur, Shaikpet Road",Road collapsed partially. Crater 1m deep near residential gate.,Social Media,1,"complaint_id: GH-202422; date_raised: 2024-07-31; city: Hyderabad; ward: Ward 52 – Madhapur; location: Attapur, Shaikpet Road; description: Road collapsed partially. Crater 1m deep near residential gate.; reported_by: Social Media; days_open: 1",
GH-202424,2024-07-19,Hyderabad,Ward 52 – Madhapur,Malkajgiri railway underpass,Underpass floods in light rain. Cars regularly abandoned.,Councillor Referral,5,complaint_id: GH-202424; date_raised: 2024-07-19; city: Hyderabad; ward: Ward 52 – Madhapur; location: Malkajgiri railway underpass; description: Underpass floods in light rain. Cars regularly abandoned.; reported_by: Councillor Referral; days_open: 5,
GH-202428,2024-07-24,Hyderabad,Ward 54 – Kukatpally,Tolichowki Friday Market area,Post-market waste not cleared. Area unusable by Sunday morning.,Ward Office Walk-in,8,complaint_id: GH-202428; date_raised: 2024-07-24; city: Hyderabad; ward: Ward 54 – Kukatpally; location: Tolichowki Friday Market area; description: Post-market waste not cleared. Area unusable by Sunday morning.; reported_by: Ward Office Walk-in; days_open: 8,
GH-202432,2024-07-19,Hyderabad,Ward 51 – Jubilee Hills,"Kukatpally, KPHB Phase 7",24hr supermarket delivery trucks idling with engines on.,Citizen Portal,2,"complaint_id: GH-202432; date_raised: 2024-07-19; city: Hyderabad; ward: Ward 51 – Jubilee Hills; location: Kukatpally, KPHB Phase 7; description: 24hr supermarket delivery trucks idling with engines on.; reported_by: Citizen Portal; days_open: 2",
GH-202448,2024-07-22,Hyderabad,Ward 52 – Madhapur,Kondapur main drain,Main drain blocked — entire locality at flooding risk this week.,Councillor Referral,8,complaint_id: GH-202448; date_raised: 2024-07-22; city: Hyderabad; ward: Ward 52 – Madhapur; location: Kondapur main drain; description: Main drain blocked — entire locality at flooding risk this week.; reported_by: Councillor Referral; days_open: 8,
GH-202438,2024-07-06,Hyderabad,Ward 53 – LB Nagar,Hayathnagar residential colony,Colony surrounded by fields that channel rainwater through main road.,Social Media,11,complaint_id: GH-202438; date_raised: 2024-07-06; city: Hyderabad; ward: Ward 53 – LB Nagar; location: Hayathnagar residential colony; description: Colony surrounded by fields that channel rainwater through main road.; reported_by: Social Media; days_open: 11,
